ticker,data,preco_fechamento,momentum_6m,volatilidade_6m,momentum_ajustado,target_retorno_1m
ABEV3.SA,2020-07-06,10.732965469360352,-0.2904637057877329,0.5480029907874318,-0.5300403659665475,-0.06685231373169265
B3SA3.SA,2020-07-06,14.846694946289062,0.24453056691099634,0.6986072772388829,0.35002579400182965,0.1185420912586217
BBAS3.SA,2020-07-06,11.119792938232422,-0.4254164688263327,0.8161536064838684,-0.5212455908381032,-0.03951535632920489
BBDC4.SA,2020-07-06,12.411107063293457,-0.4016094409583021,0.7125539708278957,-0.5636196799123634,-0.04023923794618234
ITUB4.SA,2020-07-06,17.31734848022461,-0.28232879842882636,0.5843280425893095,-0.4831683195927994,-0.07304997159465765
PETR4.SA,2020-07-06,6.268783092498779,-0.31030298614627616,0.9264490984181862,-0.33493797627531363,-0.03241060743427704
RADL3.SA,2020-07-06,19.9349308013916,0.0021132866634792817,0.48901851108435396,0.004321486028807501,0.03234514758203133
RENT3.SA,2020-07-06,36.19086456298828,-0.13286418056594004,0.9664853089538757,-0.13747149525713154,0.15375687583019593
VALE3.SA,2020-07-06,31.382829666137695,0.040402365445549426,0.7010998318708167,0.05762712185758146,0.07300688036161729
WEGE3.SA,2020-07-06,23.504192352294922,0.41695036379144784,0.7132608381128562,0.584569264863348,0.25784214611969225
ABEV3.SA,2020-07-07,10.800233840942383,-0.2700535288323663,0.5478728588219919,-0.49291277069833594,-0.08788916354506981
B3SA3.SA,2020-07-07,15.017440795898438,0.28520744724730124,0.6973142097375005,0.40900851189403664,0.11072242154152234
BBAS3.SA,2020-07-07,10.673974990844727,-0.4646601049696816,0.8178738014516214,-0.5681317877464339,0.0015023488104595195
BBDC4.SA,2020-07-07,11.896032333374023,-0.44450241425718606,0.7146845525802022,-0.6219560960880063,0.0059264572875157295
ITUB4.SA,2020-07-07,16.46803092956543,-0.32204316401007216,0.5881564690897766,-0.5475467514766301,-0.02600176442157509
PETR4.SA,2020-07-07,6.190806865692139,-0.31464316836383854,0.9265233929637169,-0.3395954929506676,0.042755935174927595
RADL3.SA,2020-07-07,19.594282150268555,0.007423343268155244,0.48858206088994605,0.015193646804456387,0.04621248204159878
RENT3.SA,2020-07-07,36.826812744140625,-0.1008280692778255,0.9666409140656363,-0.1043076780743207,0.15905484275416182
VALE3.SA,2020-07-07,31.271865844726562,0.04424988675282764,0.7010356412717802,0.06312073758839414,0.10324660528058249
WEGE3.SA,2020-07-07,23.817874908447266,0.4430597693919708,0.7130239175952432,0.6213813568642155,0.2674805840691268
ABEV3.SA,2020-07-08,10.994563102722168,-0.25696355315039676,0.5485169282436065,-0.4684696860190147,-0.09857246759915639
